ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  200000         0.0000         0.0000         0.0000         0.0000          -5524.3361       342.9550         0.0000         0.0000       971.4374          -4209.9436       308.6171     -5181.3810     -4207.7064       299.3068           -241.2678      -224.6885     22629.1549      -216.3946      -216.7545
ENERGY:  205000         0.0000         0.0000         0.0000         0.0000          -5554.2746       354.3675         0.0000         0.0000       952.8510          -4247.0560       302.7124     -5199.9071     -4244.8783       300.7752           -464.3271      -451.2838     22561.7316      -212.6225      -212.5402
ENERGY:  210000         0.0000         0.0000         0.0000         0.0000          -5648.5851       412.1676         0.0000         0.0000       893.3887          -4343.0288       283.8218     -5236.4175     -4341.3931       299.3721           -243.2531      -227.1018     22657.7820      -289.0829      -289.2672
ENERGY:  215000         0.0000         0.0000         0.0000         0.0000          -5598.7886       376.3574         0.0000         0.0000       942.3414          -4280.0898       299.3736     -5222.4312     -4278.2475       295.4552            -87.5427       -62.4151     22466.5417      -218.4510      -218.4607
ENERGY:  220000         0.0000         0.0000         0.0000         0.0000          -5582.7014       367.0741         0.0000         0.0000       961.6767          -4253.9506       305.5163     -5215.6273     -4252.4929       300.5372           -474.8969      -444.2687     22613.9276      -138.8777      -138.7858
ENERGY:  225000         0.0000         0.0000         0.0000         0.0000          -5553.2801       362.8949         0.0000         0.0000       918.4672          -4271.9180       291.7890     -5190.3852     -4270.8854       295.9709           -473.6455      -467.2033     22483.5850      -226.6322      -226.5549
ENERGY:  230000         0.0000         0.0000         0.0000         0.0000          -5609.8645       400.4452         0.0000         0.0000       909.8592          -4299.5601       289.0543     -5209.4193     -4298.4489       299.1450            224.6736       226.1418     22350.7558      -148.3113      -148.3740
ENERGY:  235000         0.0000         0.0000         0.0000         0.0000          -5744.2480       455.1980         0.0000         0.0000       969.8779          -4319.1722       308.1217     -5289.0501     -4316.9837       295.9907            249.6816       253.9584     22504.7561      -239.2467      -239.4124
ENERGY:  240000         0.0000         0.0000         0.0000         0.0000          -5607.5376       372.5332         0.0000         0.0000       917.7858          -4317.2186       291.5725     -5235.0044     -4315.5462       295.9739           -470.9979      -439.4127     22604.3768      -172.7128      -172.7397
ENERGY:  245000         0.0000         0.0000         0.0000         0.0000          -5474.2875       332.0762         0.0000         0.0000       952.6823          -4189.5291       302.6588     -5142.2113     -4187.2932       301.0075           -891.2431      -861.5615     22829.9645      -229.7756      -229.7229
ENERGY:  250000         0.0000         0.0000         0.0000         0.0000          -5588.1389       383.2597         0.0000         0.0000       960.0045          -4244.8747       304.9850     -5204.8792     -4242.1993       301.2521           -398.4473      -384.9951     22725.4857      -231.9980      -231.9781
ENERGY:  255000         0.0000         0.0000         0.0000         0.0000          -5638.5859       418.8595         0.0000         0.0000       936.0081          -4283.7183       297.3615     -5219.7263     -4281.5157       296.2844            324.6085       342.3434     22424.1629      -215.3368      -215.4101
ENERGY:  260000         0.0000         0.0000         0.0000         0.0000          -5610.2896       367.9610         0.0000         0.0000       928.6686          -4313.6601       295.0298     -5242.3287     -4312.0546       298.0611           -414.5993      -393.2534     22486.3332      -260.9885      -260.9286
ENERGY:  265000         0.0000         0.0000         0.0000         0.0000          -5575.4910       358.0038         0.0000         0.0000       941.9850          -4275.5023       299.2604     -5217.4872     -4273.3268       297.1359           -340.9941      -312.0955     22488.4554      -199.6749      -199.7000
ENERGY:  270000         0.0000         0.0000         0.0000         0.0000          -5584.9860       367.3515         0.0000         0.0000       941.8985          -4275.7360       299.2329     -5217.6345     -4273.8588       296.0319           -141.2322      -125.7868     22522.3951      -252.5564      -252.5392
ENERGY:  275000         0.0000         0.0000         0.0000         0.0000          -5521.2730       322.0068         0.0000         0.0000       963.6355          -4235.6306       306.1386     -5199.2662     -4231.5194       299.7840           -954.2752      -925.2836     22709.1569      -209.0941      -209.0354
ENERGY:  280000         0.0000         0.0000         0.0000         0.0000          -5603.2711       366.2742         0.0000         0.0000       959.4543          -4277.5427       304.8102     -5236.9970     -4276.1402       300.0575           -998.0382      -971.0022     23028.3360      -197.8881      -197.8965
ENERGY:  285000         0.0000         0.0000         0.0000         0.0000          -5553.9892       352.2287         0.0000         0.0000       940.7463          -4261.0141       298.8669     -5201.7604     -4259.7169       298.5636           -668.4093      -640.7621     22787.7563      -230.9771      -231.0558
ENERGY:  290000         0.0000         0.0000         0.0000         0.0000          -5640.4425       392.5125         0.0000         0.0000       904.6064          -4343.3237       287.3855     -5247.9300     -4341.5989       293.2039           -522.1693      -504.3153     22845.5130      -277.5862      -277.5748
ENERGY:  295000         0.0000         0.0000         0.0000         0.0000          -5619.1965       416.9264         0.0000         0.0000       956.2570          -4246.0131       303.7945     -5202.2701     -4243.2540       295.4766              4.8816        29.4312     22882.8965      -240.0257      -239.9952
ENERGY:  300000         0.0000         0.0000         0.0000         0.0000          -5592.3444       373.1583         0.0000         0.0000       916.5142          -4302.6720       291.1685     -5219.1861     -4300.3415       296.4862           -714.1763      -693.6044     22774.7272      -302.6429      -302.6957
ENERGY:  305000         0.0000         0.0000         0.0000         0.0000          -5583.7186       347.8543         0.0000         0.0000       901.4054          -4334.4589       286.3686     -5235.8643     -4332.3078       298.7239           -932.0153      -914.9563     22701.5582      -189.4578      -189.5138
ENERGY:  310000         0.0000         0.0000         0.0000         0.0000          -5623.1556       381.6708         0.0000         0.0000       945.9652          -4295.5196       300.5248     -5241.4849     -4293.0723       295.6346           -315.9290      -290.7125     22566.0289      -210.9208      -210.8211
ENERGY:  315000         0.0000         0.0000         0.0000         0.0000          -5541.9073       348.8073         0.0000         0.0000       945.1140          -4247.9860       300.2544     -5193.1000     -4245.6560       298.0221           -459.2427      -442.4488     22863.1479      -261.7698      -261.8293
ENERGY:  320000         0.0000         0.0000         0.0000         0.0000          -5518.6953       379.7403         0.0000         0.0000       898.7045          -4240.2504       285.5105     -5138.9549     -4238.3363       301.5360           -419.0999      -419.7978     22906.3413      -241.1899      -241.3516
ENERGY:  325000         0.0000         0.0000         0.0000         0.0000          -5630.6840       372.9337         0.0000         0.0000       906.6233          -4351.1270       288.0262     -5257.7503     -4348.5424       298.7553           -825.6153      -807.5117     22911.5546      -234.0123      -234.1560
ENERGY:  330000         0.0000         0.0000         0.0000         0.0000          -5578.2785       343.9364         0.0000         0.0000       913.8932          -4320.4488       290.3359     -5234.3420     -4319.4431       295.9430           -912.0685      -908.9258     22710.2941      -263.1350      -263.0923
ENERGY:  335000         0.0000         0.0000         0.0000         0.0000          -5611.0517       418.7189         0.0000         0.0000       983.8891          -4208.4437       312.5729     -5192.3328     -4205.6808       302.0754              3.5175        21.3612     22872.8655      -178.5744      -178.6494
