# step Etot Epot T p 
195 -4874.5985 -4874.5985 0.0 1227.237 
196 -4874.1259 -4874.1259 0.0 1242.1701 
197 -4874.4576 -4874.4576 0.0 1233.8763 
198 -4874.5504 -4874.5504 0.0 1230.3648 
199 -4874.5797 -4874.5797 0.0 1228.7548 
200 -4874.5906 -4874.5906 0.0 1227.9798 
201 -4874.595 -4874.595 0.0 1227.6015 
202 -4874.5969 -4874.5969 0.0 1227.4165 
203 -4874.5977 -4874.5977 0.0 1227.3274 
204 -4874.5981 -4874.5981 0.0 1227.2819 
205 -4874.5983 -4874.5983 0.0 1227.2594 
206 -4874.5984 -4874.5984 0.0 1227.2481 
207 -4874.1252 -4874.1252 0.0 1242.1848 
208 -4874.4584 -4874.4584 0.0 1233.8493 
209 -4874.5507 -4874.5507 0.0 1230.3479 
210 -4874.5798 -4874.5798 0.0 1228.7491 
211 -4874.5905 -4874.5905 0.0 1227.9813 
212 -4874.5949 -4874.5949 0.0 1227.6073 
213 -4874.5968 -4874.5968 0.0 1227.4247 
214 -4874.5976 -4874.5976 0.0 1227.3369 
215 -4874.598 -4874.598 0.0 1227.2922 
216 -4874.5982 -4874.5982 0.0 1227.27 
217 -4874.5983 -4874.5983 0.0 1227.259 
218 -4874.1252 -4874.1252 0.0 1242.1938 
219 -4874.4533 -4874.4533 0.0 1234.02 
220 -4874.5482 -4874.5482 0.0 1230.4731 
221 -4874.5784 -4874.5784 0.0 1228.8336 
222 -4874.5898 -4874.5898 0.0 1228.0343 
223 -4874.5944 -4874.5944 0.0 1227.6448 
224 -4874.5966 -4874.5966 0.0 1227.4475 
225 -4874.5975 -4874.5975 0.0 1227.3518 
226 -4874.5979 -4874.5979 0.0 1227.3065 
227 -4874.5981 -4874.5981 0.0 1227.2827 
228 -4874.5982 -4874.5982 0.0 1227.2708 
229 -4874.1245 -4874.1245 0.0 1242.2095 
230 -4874.4542 -4874.4542 0.0 1233.9929 
231 -4874.5485 -4874.5485 0.0 1230.4582 
232 -4874.5785 -4874.5785 0.0 1228.8278 
233 -4874.5898 -4874.5898 0.0 1228.0361 
234 -4874.5943 -4874.5943 0.0 1227.6511 
235 -4874.5965 -4874.5965 0.0 1227.4563 
236 -4874.5975 -4874.5975 0.0 1227.3608 
237 -4874.5978 -4874.5978 0.0 1227.3174 
238 -4874.598 -4874.598 0.0 1227.294 
239 -4874.5981 -4874.5981 0.0 1227.2824 
240 -4874.1238 -4874.1238 0.0 1242.2248 
241 -4874.4551 -4874.4551 0.0 1233.9657 
242 -4874.5489 -4874.5489 0.0 1230.441 
243 -4874.5787 -4874.5787 0.0 1228.8209 
244 -4874.5898 -4874.5898 0.0 1228.0378 
245 -4874.5942 -4874.5942 0.0 1227.6572 
246 -4874.5964 -4874.5964 0.0 1227.4648 
247 -4874.5974 -4874.5974 0.0 1227.3707 
248 -4874.5976 -4874.5976 0.0 1227.3282 
249 -4874.5979 -4874.5979 0.0 1227.3052 
250 -4874.598 -4874.598 0.0 1227.2937 
251 -4874.1232 -4874.1232 0.0 1242.2399 
252 -4874.4559 -4874.4559 0.0 1233.9386 
253 -4874.5493 -4874.5493 0.0 1230.4239 
254 -4874.5788 -4874.5788 0.0 1228.815 
255 -4874.5898 -4874.5898 0.0 1228.0394 
256 -4874.5942 -4874.5942 0.0 1227.6631 
257 -4874.5963 -4874.5963 0.0 1227.4732 
258 -4874.5973 -4874.5973 0.0 1227.3805 
259 -4874.5976 -4874.5976 0.0 1227.3386 
260 -4874.5977 -4874.5977 0.0 1227.3161 
261 -4874.5979 -4874.5979 0.0 1227.3048 
262 -4874.1225 -4874.1225 0.0 1242.2545 
263 -4874.4569 -4874.4569 0.0 1233.9114 
264 -4874.5496 -4874.5496 0.0 1230.4069 
265 -4874.5789 -4874.5789 0.0 1228.8092 
266 -4874.5898 -4874.5898 0.0 1228.0408 
267 -4874.5941 -4874.5941 0.0 1227.6689 
268 -4874.5962 -4874.5962 0.0 1227.4814 
269 -4874.5972 -4874.5972 0.0 1227.39 
270 -4874.5976 -4874.5976 0.0 1227.3465 
271 -4874.5977 -4874.5977 0.0 1227.3268 
272 -4874.5977 -4874.5977 0.0 1227.3157 
273 -4874.1219 -4874.1219 0.0 1242.269 
274 -4874.4577 -4874.4577 0.0 1233.8843 
275 -4874.55 -4874.55 0.0 1230.3899 
276 -4874.579 -4874.579 0.0 1228.8034 
277 -4874.5897 -4874.5897 0.0 1228.0423 
278 -4874.594 -4874.594 0.0 1227.6746 
279 -4874.5962 -4874.5962 0.0 1227.4895 
280 -4874.5971 -4874.5971 0.0 1227.3994 
281 -4874.5975 -4874.5975 0.0 1227.3567 
282 -4874.5976 -4874.5976 0.0 1227.3372 
283 -4874.5977 -4874.5977 0.0 1227.3264 
284 -4874.122 -4874.122 0.0 1242.2767 
285 -4874.4513 -4874.4513 0.0 1234.0948 
286 -4874.5468 -4874.5468 0.0 1230.5453 
287 -4874.5775 -4874.5775 0.0 1228.9029 
288 -4874.589 -4874.589 0.0 1228.1026 
289 -4874.5936 -4874.5936 0.0 1227.7127 
290 -4874.5959 -4874.5959 0.0 1227.5151 
291 -4874.5969 -4874.5969 0.0 1227.4193 
292 -4874.5974 -4874.5974 0.0 1227.3704 
293 -4874.1192 -4874.1192 0.0 1242.3397 
294 -4874.451 -4874.451 0.0 1234.1084 
295 -4874.5464 -4874.5464 0.0 1230.566 
296 -4874.577 -4874.577 0.0 1228.9337 
297 -4874.5886 -4874.5886 0.0 1228.1405 
298 -4874.5932 -4874.5932 0.0 1227.7548 
299 -4874.5955 -4874.5955 0.0 1227.5596 
300 -4874.5964 -4874.5964 0.0 1227.4652 
301 -4874.5969 -4874.5969 0.0 1227.4182 
302 -4874.5972 -4874.5972 0.0 1227.3936 
303 -4874.5973 -4874.5973 0.0 1227.382 
304 -4874.1187 -4874.1187 0.0 1242.3538 
305 -4874.452 -4874.452 0.0 1234.0803 
306 -4874.5469 -4874.5469 0.0 1230.5481 
307 -4874.5771 -4874.5771 0.0 1228.9276 
308 -4874.5885 -4874.5885 0.0 1228.142 
309 -4874.5931 -4874.5931 0.0 1227.7607 
310 -4874.5954 -4874.5954 0.0 1227.5681 
311 -4874.5963 -4874.5963 0.0 1227.4751 
312 -4874.5968 -4874.5968 0.0 1227.4289 
313 -4874.5971 -4874.5971 0.0 1227.4047 
314 -4874.5972 -4874.5972 0.0 1227.3933 
315 -4874.1181 -4874.1181 0.0 1242.3683 
316 -4874.4529 -4874.4529 0.0 1234.0525 
317 -4874.5473 -4874.5473 0.0 1230.5305 
318 -4874.5772 -4874.5772 0.0 1228.9214 
319 -4874.5885 -4874.5885 0.0 1228.1433 
320 -4874.5931 -4874.5931 0.0 1227.7665 
321 -4874.5953 -4874.5953 0.0 1227.5764 
322 -4874.5962 -4874.5962 0.0 1227.4848 
323 -4874.5967 -4874.5967 0.0 1227.4393 
324 -4874.5969 -4874.5969 0.0 1227.4167 
325 -4874.5971 -4874.5971 0.0 1227.4043 
326 -4874.1175 -4874.1175 0.0 1242.3826 
327 -4874.4538 -4874.4538 0.0 1234.0246 
328 -4874.5478 -4874.5478 0.0 1230.5117 
329 -4874.5774 -4874.5774 0.0 1228.9152 
330 -4874.5885 -4874.5885 0.0 1228.1445 
331 -4874.593 -4874.593 0.0 1227.7721 
332 -4874.5952 -4874.5952 0.0 1227.5844 
333 -4874.5961 -4874.5961 0.0 1227.4942 
334 -4874.5966 -4874.5966 0.0 1227.4495 
335 -4874.5968 -4874.5968 0.0 1227.4273 
336 -4874.5969 -4874.5969 0.0 1227.4163 
337 -4874.1169 -4874.1169 0.0 1242.3965 
338 -4874.4548 -4874.4548 0.0 1233.9969 
339 -4874.5482 -4874.5482 0.0 1230.4943 
340 -4874.5775 -4874.5775 0.0 1228.909 
341 -4874.5885 -4874.5885 0.0 1228.1457 
342 -4874.5929 -4874.5929 0.0 1227.7776 
343 -4874.5952 -4874.5952 0.0 1227.5923 
344 -4874.596 -4874.596 0.0 1227.5034 
345 -4874.5965 -4874.5965 0.0 1227.4594 
346 -4874.5967 -4874.5967 0.0 1227.4377 
347 -4874.5968 -4874.5968 0.0 1227.4269 
348 -4874.117 -4874.117 0.0 1242.4031 
349 -4874.4483 -4874.4483 0.0 1234.2089 
350 -4874.5448 -4874.5448 0.0 1230.6537 
351 -4874.5759 -4874.5759 0.0 1229.0085 
352 -4874.5877 -4874.5877 0.0 1228.2081 
353 -4874.5925 -4874.5925 0.0 1227.8162 
354 -4874.5949 -4874.5949 0.0 1227.6183 
355 -4874.5958 -4874.5958 0.0 1227.5223 
356 -4874.5963 -4874.5963 0.0 1227.4745 
357 -4874.5966 -4874.5966 0.0 1227.4506 
358 -4874.5967 -4874.5967 0.0 1227.4387 
359 -4874.1164 -4874.1164 0.0 1242.4188 
360 -4874.4492 -4874.4492 0.0 1234.1812 
